Tmod,Tmod2
0.321323646529368,-0.988998186700033
0.232352943689389,-0.988891829937641
0.118053270887464,-0.988784964430084
0.0110027217902848,-0.98867759023234
0,-0.98856970739965
0,-0.988461315987514
0,-0.988352416051695
0,-0.988243007648218
0,-0.98813309083337
0,-0.988022665663698
0,-0.987911732196011
0,-0.98780029048738
0,-0.987688340595138
0,-0.987575882576878
0,-0.987462916490455
0,-0.987349442393986
0,-0.987235460345849
0.000409104131750133,-0.987120970404683
0.0769578631081164,-0.987005972629389
0.198127010902888,-0.986890467079127
0.296607927851956,-0.986774453813322
0.364148513535135,-0.986657932891657
0.392828025241765,-0.986540904374078
0.378579580361362,-0.98642336832079
0.323472331218416,-0.986305324792263
0.234562855424916,-0.986186773849224
0.120228972824958,-0.986067715552663
0.0118820101390864,-0.98594814996383
0,-0.985828077144238
0,-0.98570749715566
0,-0.985586410060128
0,-0.985464815919937
0,-0.985342714797642
0,-0.985220106756061
0,-0.985096991858268
0,-0.984973370167603
0,-0.984849241747664
0,-0.984724606662309
0,-0.984599464975658
0,-0.984473816752092
0,-0.984347662056252
0.000442074865238778,-0.98422100095304
0.0774486313575361,-0.984093833507616
0.19890535241464,-0.983966159785405
0.29774029382602,-0.983837979852088
0.365643329658738,-0.98370929377361
0.394667069752952,-0.983580101616174
0.380673005642978,-0.983450403446244
0.325701599814471,-0.983320199330545
0.236810859946123,-0.983189489336062
0.122471015631789,-0.983058273530039
0.0128207314463807,-0.982926551979982
0,-0.982794324753657
0,-0.982661591919089
0,-0.982528353544563
0,-0.982394609698626
0,-0.982260360450083
0,-0.982125605868001
0,-0.981990346021704
0,-0.981854580980779
0,-0.981718310815072
0,-0.981581535594688
0,-0.981444255389992
0,-0.981306470271609
0,-0.981168180310425
0.00048126992247893,-0.981029385577584
0.0780594403503103,-0.980890086144491
0.199749811518364,-0.980750282082809
0.298967819286283,-0.980609973464461
0.367226617707649,-0.980469160361632
0.396590161484923,-0.980327842846764
0.382837458610402,-0.980186020992558
0.328011020554612,-0.980043694871977
0.239100079416726,-0.979900864558242
0.124760805383371,-0.979757530124833
0.0138216657249778,-0.97961369164549
0,-0.979469349194212
0,-0.979324502845258
0,-0.979179152673144
0,-0.979033298752649
0,-0.978886941158808
0,-0.978740079966915
0,-0.978592715252526
0,-0.978444847091454
0,-0.97829647555977
0,-0.978147600733806
0,-0.977998222690152
0,-0.977848341505657
0,-0.977697957257429
0.000520518724733307,-0.977547070022834
0.0786950867120649,-0.977395679879499
0.200734445757723,-0.977243786905307
0.300243287933751,-0.9770913911784
0.368907144372208,-0.976938492777182
0.398605363600926,-0.97678509178031
0.38508965353861,-0.976631188266705
